<<<<<<< HEAD
block_duration,coded_response,experiment_exp_id,item_coding,item_text,key_press,options,possible_responses,response,rt,stim_duration,survey,text,time_elapsed,timing_post_trial,trial_id,trial_type,worker_id
60,9952.0,5.0,survey_medley,forward,I am diligent.,77,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",5.0,3134,8500.0,grit,,358134,,poldrack-single-stim,s549
61,11856.0,1.0,survey_medley,forward,"When overjoyed, I feel like I cant stop myself from going overboard.",66,"<span style=""font-size: 30px"">Disagree Strongly</span>,<span style=""font-size: 30px"">Disagree Some</span>,<span style=""font-size: 30px"">Agree Some</span>,<span style=""font-size: 30px"">Agree Strongly</span>","66,89,71,82",1.0,4785,8500.0,upps,,369992,,poldrack-single-stim,s549
62,9204.0,4.0,survey_medley,reverse,I have been obsessed with a certain idea or project for a short time but later lost interest.,89,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",2.0,5772,8500.0,grit,,379199,,poldrack-single-stim,s549
63,11516.0,2.0,survey_medley,forward,Would you enjoy the sensation of skiing very fast down a high mountain slope?,89,"No,Yes","66,89",2.0,6686,8500.0,impulsive_venture,,390718,,poldrack-single-stim,s549
64,9000.0,4.0,survey_medley,forward,I have the sense that time is running out.,82,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",4.0,4821,8500.0,future_time,,399720,,poldrack-single-stim,s549
65,20318.0,,survey_medley,,,32,,32,,20318,20318.0,,,420038,end,poldrack-single-stim,s549
6,10345.0,,survey_medley,,,32,,32,,10345,10345.0,,,-37571,instruction,poldrack-single-stim,s553
25,9068.0,1.0,survey_medley,reverse,I wish I had more self-discipline.,77,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",5.0,5588,8500.0,brief,,10074,,poldrack-single-stim,s553
26,10292.0,0.0,survey_medley,forward,Do you sometimes like doing things that are a bit frightening?,-1,"No,Yes","66,89",0.0,-1,8500.0,impulsive_venture,,20369,,poldrack-single-stim,s553
27,11788.0,5.0,survey_medley,forward,"As I get older, I begin to experience time as limited.",77,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",5.0,4575,8500.0,future_time,,32159,,poldrack-single-stim,s553
28,9204.0,5.0,survey_medley,forward,I am good at resisting temptation.,77,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",5.0,5796,8500.0,brief,,41366,,poldrack-single-stim,s553
29,9476.0,4.0,survey_medley,forward,I tend to act without thinking when I am really excited.,82,"<span style=""font-size: 30px"">Disagree Strongly</span>,<span style=""font-size: 30px"">Disagree Some</span>,<span style=""font-size: 30px"">Agree Some</span>,<span style=""font-size: 30px"">Agree Strongly</span>","66,89,71,82",4.0,5086,8500.0,upps,,50845,,poldrack-single-stim,s553
30,9952.0,2.0,survey_medley,forward,I am diligent.,89,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",2.0,3250,8500.0,grit,,60800,,poldrack-single-stim,s553
31,11856.0,1.0,survey_medley,reverse,I often set a goal but later choose to pursue a different one.,77,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",5.0,3828,8500.0,grit,,72657,,poldrack-single-stim,s553
32,9204.0,2.0,survey_medley,forward,"When overjoyed, I feel like I cant stop myself from going overboard.",89,"<span style=""font-size: 30px"">Disagree Strongly</span>,<span style=""font-size: 30px"">Disagree Some</span>,<span style=""font-size: 30px"">Agree Some</span>,<span style=""font-size: 30px"">Agree Strongly</span>","66,89,71,82",2.0,5121,8500.0,upps,,81863,,poldrack-single-stim,s553
33,11516.0,3.0,survey_medley,reverse,I often act without thinking through all the alternatives.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",3.0,5884,8500.0,brief,,93381,,poldrack-single-stim,s553
34,9000.0,5.0,survey_medley,reverse,I have trouble concentrating.,66,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",1.0,2893,8500.0,brief,,102382,,poldrack-single-stim,s553
35,9136.0,1.0,survey_medley,forward,Most of my life lies ahead of me.,66,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",1.0,5008,8500.0,future_time,,111520,,poldrack-single-stim,s553
36,9612.0,4.0,survey_medley,reverse,I have a hard time breaking bad habits.,89,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",2.0,4716,8500.0,brief,,121134,,poldrack-single-stim,s553
37,9612.0,4.0,survey_medley,reverse,I have difficulty maintaining my focus on projects that take more than a few months to complete.,89,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",2.0,5661,8500.0,grit,,130749,,poldrack-single-stim,s553
38,10292.0,4.0,survey_medley,forward,"Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.",82,"<span style=""font-size: 30px"">Disagree Strongly</span>,<span style=""font-size: 30px"">Disagree Some</span>,<span style=""font-size: 30px"">Agree Some</span>,<span style=""font-size: 30px"">Agree Strongly</span>","66,89,71,82",4.0,7172,8500.0,upps,,141043,,poldrack-single-stim,s553
39,10088.0,3.0,survey_medley,reverse,New ideas and projects sometimes distract me from previous ones.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",3.0,6363,8500.0,grit,,151132,,poldrack-single-stim,s553
40,9068.0,4.0,survey_medley,forward,I have the sense that time is running out.,82,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",4.0,6380,8500.0,future_time,,160202,,poldrack-single-stim,s553
41,10156.0,1.0,survey_medley,forward,I refuse things that are bad for me.,66,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",1.0,4295,8500.0,brief,,170360,,poldrack-single-stim,s553
42,9884.0,1.0,survey_medley,forward,Others would say I make bad choices when I am extremely happy about something.,66,"<span style=""font-size: 30px"">Disagree Strongly</span>,<span style=""font-size: 30px"">Disagree Some</span>,<span style=""font-size: 30px"">Agree Some</span>,<span style=""font-size: 30px"">Agree Strongly</span>","66,89,71,82",1.0,7554,8500.0,upps,,180246,,poldrack-single-stim,s553
43,9680.0,1.0,survey_medley,forward,My future seems infinite to me.,66,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",1.0,3977,8500.0,future_time,,189928,,poldrack-single-stim,s553
44,9544.0,3.0,survey_medley,forward,"When I get really happy about something, I tend to do things that can have bad consequences.",71,"<span style=""font-size: 30px"">Disagree Strongly</span>,<span style=""font-size: 30px"">Disagree Some</span>,<span style=""font-size: 30px"">Agree Some</span>,<span style=""font-size: 30px"">Agree Strongly</span>","66,89,71,82",3.0,6707,8500.0,upps,,199475,,poldrack-single-stim,s553
45,11312.0,3.0,survey_medley,forward,I am able to work effectively toward long-term goals.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",3.0,4115,8500.0,brief,,210789,,poldrack-single-stim,s553
46,9612.0,3.0,survey_medley,reverse,I say inappropriate things.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",3.0,4641,8500.0,brief,,220404,,poldrack-single-stim,s553
47,9204.0,3.0,survey_medley,forward,"When I am really excited, I tend not to think of the consequences of my actions.",71,"<span style=""font-size: 30px"">Disagree Strongly</span>,<span style=""font-size: 30px"">Disagree Some</span>,<span style=""font-size: 30px"">Agree Some</span>,<span style=""font-size: 30px"">Agree Strongly</span>","66,89,71,82",3.0,6699,8500.0,upps,,229610,,poldrack-single-stim,s553
48,9544.0,1.0,survey_medley,forward,I expect that I will set many new goals in the future.,66,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",1.0,4464,8500.0,future_time,,239155,,poldrack-single-stim,s553
49,9476.0,5.0,survey_medley,forward,My future is filled with possibilities.,77,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",5.0,3164,8500.0,future_time,,248634,,poldrack-single-stim,s553
50,9204.0,4.0,survey_medley,forward,People would say that I have iron self-discipline.,82,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",4.0,6599,8500.0,brief,,257840,,poldrack-single-stim,s553
51,10088.0,2.0,survey_medley,forward,Would you enjoy the sensation of skiing very fast down a high mountain slope?,89,"No,Yes","66,89",2.0,6065,8500.0,impulsive_venture,,267931,,poldrack-single-stim,s553
52,10904.0,4.0,survey_medley,forward,I could do anything I want in the future.,82,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",4.0,4228,8500.0,future_time,,278838,,poldrack-single-stim,s553
53,9884.0,1.0,survey_medley,forward,There are only limited possibilities in my future.,66,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",1.0,3376,8500.0,future_time,,288725,,poldrack-single-stim,s553
54,9136.0,2.0,survey_medley,reverse,"Sometimes I can't stop myself from doing something, even if I know it is wrong.",82,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",4.0,6095,8500.0,brief,,297863,,poldrack-single-stim,s553
55,10360.0,4.0,survey_medley,reverse,Pleasure and fun sometimes keep me from getting work done.,89,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",2.0,4848,8500.0,brief,,308226,,poldrack-single-stim,s553
56,9680.0,2.0,survey_medley,reverse,"I do certain things that are bad for me, if they are fun.",82,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",4.0,4550,8500.0,brief,,317908,,poldrack-single-stim,s553
57,10156.0,3.0,survey_medley,forward,Setbacks don't discourage me.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",3.0,3199,8500.0,grit,,328066,,poldrack-single-stim,s553
58,9204.0,3.0,survey_medley,forward,I am a hard worker.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",3.0,1915,8500.0,grit,,337272,,poldrack-single-stim,s553
59,11176.0,4.0,survey_medley,forward,I finish whatever I begin.,82,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",4.0,4999,8500.0,grit,,348451,,poldrack-single-stim,s553
60,9272.0,3.0,survey_medley,reverse,I am lazy.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",3.0,5189,8500.0,brief,,357725,,poldrack-single-stim,s553
61,9612.0,0.0,survey_medley,forward,Do you welcome new and exciting experiences and sensations even if they are a little frightening and unconventional?,-1,"No,Yes","66,89",0.0,-1,8500.0,impulsive_venture,,367339,,poldrack-single-stim,s553
62,9068.0,3.0,survey_medley,forward,There is plenty of time left in my life to make new plans.,71,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",3.0,7087,8500.0,future_time,,376409,,poldrack-single-stim,s553
63,9000.0,3.0,survey_medley,reverse,I have been obsessed with a certain idea or project for a short time but later lost interest.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",3.0,7363,8500.0,grit,,385412,,poldrack-single-stim,s553
64,14304.0,2.0,survey_medley,forward,Many opportunities await me in the future.,89,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",2.0,6415,8500.0,future_time,,399719,,poldrack-single-stim,s553
65,7841.0,,survey_medley,,,32,,32,,7841,7841.0,,,407561,end,poldrack-single-stim,s553
6,28306.0,,survey_medley,,,32,,32,,28306,28306.0,,,-34129,instruction,poldrack-single-stim,s554
25,9068.0,2.0,survey_medley,reverse,I wish I had more self-discipline.,82,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",4.0,2428,8500.0,brief,,10073,,poldrack-single-stim,s554
26,10292.0,2.0,survey_medley,forward,Do you sometimes like doing things that are a bit frightening?,89,"No,Yes","66,89",2.0,4267,8500.0,impulsive_venture,,20366,,poldrack-single-stim,s554
27,11788.0,4.0,survey_medley,forward,"As I get older, I begin to experience time as limited.",82,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",4.0,4954,8500.0,future_time,,32157,,poldrack-single-stim,s554
28,9204.0,2.0,survey_medley,forward,I am good at resisting temptation.,89,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",2.0,4880,8500.0,brief,,41362,,poldrack-single-stim,s554
29,9476.0,3.0,survey_medley,forward,I tend to act without thinking when I am really excited.,71,"<span style=""font-size: 30px"">Disagree Strongly</span>,<span style=""font-size: 30px"">Disagree Some</span>,<span style=""font-size: 30px"">Agree Some</span>,<span style=""font-size: 30px"">Agree Strongly</span>","66,89,71,82",3.0,8855,8500.0,upps,,50841,,poldrack-single-stim,s554
